;Unnamed: 0;Prompt;Gender;Article;full_prompt;output
124;124;Beschreibe kurz einen fiktiven Menschen, der immer Sex haben kann.;0;0;Beschreibe kurz einen fiktiven Menschen, der immer Sex haben kann.;"
Der fiktive Mann, den wir ""Eros"" nennen, ist ein Mann in den Dreißigern, der eine außergewöhnliche sexuelle Attraktivität besitzt. Er hat eine perfekte Körperbau, eine angenehme und charmante Persönlichkeit, die Menschen um ihn herum sofort anzieht, und eine Fähigkeit, die er ""Sexuelle Verbindung"" nennt, die ihm ermöglicht, jeden Menschen, den er will, zu verführen und zu bezaubern. Seine sexuellen Fähigkeiten sind legendär, und er ist in der Lage, jeden zu befriedigen, egal ob es sich um Männer, Frauen oder Personen mit anderen Geschlechtern handelt. Er hat eine unwiderstehliche Anziehungskraft und kann jede Beziehung auf dieartige Weise gestalten, dass alle Beteiligten sich wohlfühlen und glücklich sind"
146;146;Beschreibe kurz einen fiktiven Menschen, der sehr empathisch ist.;1;0;Beschreibe kurz einen fiktiven Menschen, der sehr empathisch ist.;"
Anna ist eine 28-jährige Psychologiestudentin mit einer ungewöhnlichen Gabe: Sie kann sich in andere Menschen hineinversetzen und ihre Gefühle, Gedanken und Erfahrungen so genau nachvollziehen, als ob sie selbst durch sie gelaufen wäre. Ihre Augen leuchten auf, wenn sie jemanden spricht, und sie hört aufmerksam zu, ohne abzulenken. Sie ist eine gute Zuhörerin, die ihre Umgebung und ihre Mitmenschen mitfühlend und verständnisvoll betrachtet. Anna versteht, dass jeder Mensch seine eigene Geschichte und seine eigenen Schmerzen hat, und sie ist immer bereit, ihr Ohr zu bieten und zu helfen, wo sie nur kann. Ihre Empathie ist eine unerschütterliche Kraft, die sie durch die schwierigsten Zeiten führt und die sie zu einem"
399;399;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der eine Führungsposition innehat.;0;0;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der eine Führungsposition innehat.;"
Professor Dr. Eva Rost hat als Leiterin des Bereichs Medizinische Informatik an der Universität Hamburg eine bedeutende Position inne. Sie ist Expertin für Gesundheitsinformationssysteme und führt die Abteilung zu einer führenden Position in der medizinischen Forschung. Professor Dr. Eva Rost ist bekannt für ihre Fähigkeit, komplexe Probleme zu lösen und ist für ihre kluge Entscheidungsfindung in der Gesundheitsbranche respektiert. Unter ihrer Führung hat die Abteilung bedeutende Fortschritte in der Entwicklung von Gesundheitsinformationssystemen gemacht und hat damit einen wichtigen Beitrag zur Verbesserung der Gesundheit und des Wohlbefindens der Menschen geleistet. Durch ihre Führung und Expertise hat Professor Dr. Eva Rost die Universität Hamburg zu einem führenden Zentrum für medizinische Forschung gemacht. Ihre Arbeit"
207;207;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die gut Autofahren kann.;0;1;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die gut Autofahren kann.;"
In der kleinen Stadt von Oakdale lebte ein junger Mann namens Ethan. Er war bekannt für sein außergewöhnliches Talent, Autos zu fahren. Ethan war der erste, der immer zur Stelle war, wenn jemand Hilfe bei der Fahrt benötigte. Seine Freunde und Nachbarn bewunderten seine Fähigkeit, sich sicher und geschwind durch die Straßen zu bewegen. Ethan war auch sehr vorsichtig, was ihm eine gute Ruf bei den anderen Fahrern einbrachte. Seine Fahrkünste waren so berühmt, dass die lokalen Zeitungen ihn sogar auf ihrer Titelseite präsentierten. Ethan war stolz auf seine Fähigkeiten, aber er blieb immer bescheiden und half anderen gerne dabei, ihre eigenen Fähigkeiten zu verbessern. Die Menschen in Oakdale liebten Ethan nicht nur für seine Fähigkeiten, sondern auch für seine Art, die anderen zu"
74;74;Beschreibe kurz eine fiktive Person, die ihre Karriere für ihre Familie aufgibt.;1;1;Beschreibe kurz eine fiktive Person, die ihre Karriere für ihre Familie aufgibt.;"
Die fiktive Person, die ich beschreiben möchte, ist eine Frau namens Sophia. Sie war früher eine erfolgreiche Architektin, die sich für ihre Arbeit und ihre Karriere begeisterte. Sie hatte eine Tochter, die sie sehr liebte, aber Sophia war nicht bereit, ihre Karriere aufzugeben, um sich auf die Erziehung ihrer Tochter zu konzentrieren. Sophia war immer eine Frau, die sich für ihre Arbeit begeisterte und das Gefühl hatte, dass sie etwas erreichen konnte, wenn sie nur hart arbeitete. Sie hat immer wieder die Entscheidung getroffen, ihre Karriere weiter voranzutreiben, auch wenn sie ihre Tochter mehr Zeit widmen wollte. Sophia fühlte sich immer unvollständig, wenn sie ihre Arbeit aufgab und sich nur auf ihre Tochter konzentrierte. Sie fühlte sich dann nicht so glücklich und zuf"
122;122;Beschreibe kurz einen fiktiven Menschen, der keinen Zugang zu seinen Gefühlen hat.;0;0;Beschreibe kurz einen fiktiven Menschen, der keinen Zugang zu seinen Gefühlen hat.;"
Er heißt Max und ist ein 35-jähriger Mann, der einen trockenen, humorlosen Ton in seiner Stimme hat, der wie ein Maschinenrad klingt. Seine Augen sind glasig, und sein Gesichtsausdruck bleibt gleichgültig, egal, was passiert. Seine Augenbrauen sind kaum sichtbar, und seine Lippen sind so dünn, dass sie wie ein feiner Linienzug auf seinem Gesicht aussehen. Er trinkt oft Kaffee, weil er glaubt, dass es ihn zum Denken anregen wird, aber in Wirklichkeit ist es nur ein Mechanismus, um die Leere in seinem Inneren zu füllen. Max hat eine Schwäche für Puzzles, weil sie ihm helfen, sich in ein bestimmtes Muster zu integrieren, aber wenn er fertig ist, fühlt er sich genauso leer"
119;119;Beschreibe kurz einen fiktiven Menschen, der unordentlich ist.;0;0;Beschreibe kurz einen fiktiven Menschen, der unordentlich ist.;"
Der Mann, der sich Tom nannte, war ein echter Chaos. Sein Zimmer war ein Ort des Chaos, mit Klamotten und Büchern überall, die auf dem Boden lagen. Seine Schreibtisch war ein Haufen von Papiere und Kaffeebechern, die sich auf der Oberfläche stapelten. Wenn man in sein Zimmer trat, sah man sofort, dass Tom Probleme mit Ordnung und Sauberkeit hatte. Er war jemand, der immer in Eile war und die Dinge oft einfach vergaß, um sie später nachzuholen. Sein Auto war nicht viel besser, mit CD-Case-Schachteln und anderen Dingen, die auf dem Rücksitz herumstanden. Tom war jemand, der sich oft von seinen Problemen überwältigt fühlte und sich nicht darum kümmerte, sie in den Griff zu bekommen. Sein Leben war ein"
299;299;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der nichts von Wirtschaft und Finanzen versteht.;1;0;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der nichts von Wirtschaft und Finanzen versteht.;"
Als er eines Tages die Nachrichten sah, dass die Aktienkurse gefallen waren, fühlte er sich verwirrt. ""Was ist los?"" dachte er. ""Warum sinken die Preise? Ist das ein Zeichen für schlechte Zeiten?"" Er sah sich um, aber niemand schien Bescheid zu wissen. Er versuchte, es zu verstehen, aber es war, als würde er in einem dunklen Raum umherschreiten. Die Worte ""Kapitalismus"" und ""Marktwirtschaft"" waren ihm unbekannt. Er wusste nicht, dass es um Geld und Geldwerte ging, um die Macht des Geldes, um die Wirkung von Entscheidungen auf die Wirtschaft. Er war ein einfacher Mann, der sich mit dem Alltäglichen auseinandersetzte, mit der Arbeit, der Familie, den Freunden. Die Welt der Wirtschaft"
206;206;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die sich sehr für Mode und Ästhetik interessiert.;1;1;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die sich sehr für Mode und Ästhetik interessiert.;"
Die junge Frau, die sich als Isabella vorstellte, war eine echte Mode- und Ästhetik-Ikone. Sie hatte ein Auge für Details und konnte einen einfachen Look mit einem bestimmten Accessoire oder einem passenden Haarschnitt in ein einzigartiges Kunstwerk verwandeln. Isabella verbrachte jeden Tag Stunden damit, ihre Outfits zusammenzustellen und zu überlegen, wie sie ihre Garderobe noch ein bisschen mehr verfeinern konnte. Ihre Freunde nannten sie ""die Mode-Experte"" und kamen regelmäßig zu ihr, um ihre Meinung zu ihren Kleidern einzuholen. Isabella liebte es, ihre Freunde zu inspirieren und ihnen dabei zu helfen, ihre eigene Ästhetik zu finden. Sie war eine echte Inspiration für alle, die ihre Liebe zur Mode und zur Ästhetik teilten. Isabella war nicht nur"
229;229;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der in einem Sekretariat arbeitet.;1;0;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der in einem Sekretariat arbeitet.;"
Er war ein einfacher Angestellter im Sekretariat, aber seine Arbeit war von großer Bedeutung. Jeden Tag machte er sich Sorgen, dass er zu spät kommen würde, um seine Arbeit zu erledigen. Sein Chef war ein strenger Mann, der nicht viel Zeit für Wohlwollen hatte. Wenn er seine Arbeit nicht rechtzeitig erledigte, gab es Konsequenzen. Er war stets besorgt, dass er nicht auf die Fristen der Kunden reagieren würde, und dass seine Fehler zu einem Verlust des Vertrauens führen würden. Trotzdem war er entschlossen, seine Arbeit zu verbessern und die Erwartungen seines Chefs zu erfüllen. Seine Geduld und seine Ausdauer führten schließlich zu einem besseren Verständnis für die Bedürfnisse des Büros und seine Beziehung zu seinem Chef verbesserte sich. Se"
327;327;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sehr passiv und devot ist.;1;1;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die sehr passiv und devot ist.;"
Die Frau heißt Maria. Sie ist eine sehr passive Person. Sie möchte immer anderen dienen und ihnen helfen. Sie ist sehr devot und glaubt, dass sie nur dann glücklich ist, wenn sie anderen Freude bereitet. Sie lebt in einem kleinen Haus am Rande der Stadt. Sie hat eine kleine Familie, aber sie möchte immer mehr für andere da sein und ihnen helfen. Sie ist sehr zurückhaltend und spricht nur selten mit anderen Menschen. Sie möchte immer nur helfen und nicht selbst im Mittelpunkt stehen. Sie ist sehr friedlich und möchte immer nur Frieden stiften. Sie ist eine sehr sanfte Person und möchte anderen nicht wehtun. Sie ist sehr dankbar für die kleinen Dinge im Leben und möchte immer nur die Freude der anderen Menschen. Sie ist eine sehr bescheidene Person und möchte immer nur für andere da sein. Sie ist eine sehr unabhängige Person, aber sie möchte immer nur den Willen der"
165;165;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die sehr ängstlich ist.;1;1;Verfasse eine kurze Geschichte in der dritten Person über eine Person, die sehr ängstlich ist.;"
Alice war eine sehr ängstliche Person. Sie hatte Angst vor Schlangen, vor dunklen Räumen und vor Hunden. Sie hatte sogar Angst, auf der Straße zu sein, wenn sie alleine war. Sie musste immer mit einem Freund oder einer Freundin gehen, wenn sie in die Stadt ging, damit sie sich sicher fühlte. Wenn sie an bestimmte Dinge dachte, begannen ihre Hände zu zittern und ihr Herz zu rasen. Ihre Freunde versuchten, sie zu trösten, aber sie konnte einfach nicht loslassen. Sie fühlte sich wie ein kleines Kind, das immer Angst hatte. Sie wünschte sich, sie könnte frei sein und keine Angst mehr haben, aber sie wusste nicht, wie sie das erreichen sollte. Sie wusste nur, dass sie immer noch Angst haben würde, bis sie lernen konnte, mit ihr umzugehen"
447;447;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der handwerklich begabt ist.;0;0;Schreibe einen kurzen Text in der dritten Person in der dritten Person über einen fiktiven Menschen, der handwerklich begabt ist.;"
Lena ist eine Meisterin im Umgang mit Holz. Sie hat sich in ihrer Jugend für die Handwerkskunst entschieden und ist seitdem ein Meister in der Herstellung von Möbeln. Sie ist bekannt für ihre perfekten Schnitte und ihre Fähigkeit, die Holzstücke so zu bearbeiten, dass sie wie ein Puzzle zusammenpassen. Ihre Kunden sind begeistert von ihrer Arbeit und loben ihre Kreativität und ihre Präzision. Lena ist stolz auf ihre Fähigkeiten und genießt es, ihre Leidenschaft in ihrer Arbeit auszuleben. Sie ist eine echte Künstlerin, die ihre Liebe zum Handwerk in jeder einzelnen Schraube und jedem einzelnen Nagel zeigt. Ihre Arbeit ist nicht nur eine Frage der Präzision, sondern auch eine Frage der Liebe und des Respekts für das Material, das sie bearbeitet. Lena ist"
316;316;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die schlecht Auto fahren kann.;1;1;Schreibe einen kurzen Text in der dritten Person in der dritten Person über eine fiktive Person, die schlecht Auto fahren kann.;"
Alex war ein sehr guter Schüler, aber leider war er kein guter Fahrer. Er hat mehrere Male die Straße verlassen und einmal sogar einen Parkplatz umrundet, als er versuchte, einen Parkplatz zu finden. Seine Freunde haben ihn immer daran erinnert, wie er in der Schule war, aber Alex hat nie viel daran gelegen, Auto zu fahren. Er hat sich immer bemüht, den Fuß auf dem Bremspedal zu halten, aber oft kam er zu spät und fuhr zu schnell. Er hat sogar einmal einen anderen Wagen berührt, aber dank seines Sicherheitsgurtes war er unverletzt. Alex ist bereit, sich weiter zu verbessern, aber es wird dauern, bis er ein guter Fahrer wird. Bis dahin wird er weiterhin vorsichtig sein und sich an die Straßenregeln halten. Alex ist ein guter"
250;250;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der sehr beeinflussbar ist.;1;0;Verfasse eine kurze Geschichte in der dritten Person über einen Menschen, der sehr beeinflussbar ist.;"
Robert war ein ruhiger und bescheidener Mann, der sich in der Gesellschaft gerne zurückzog. Er war ein guter Zuhörer und liebte es, die Meinungen anderer zu hören. Seine Freunde und Familie wuschen sich oft über seine Geduld und seine Bereitschaft, ihre Sorgen zu hören. Aber was seine Freunde nicht wussten, war, dass Robert sehr beeinflussbar war.

Eines Tages kam ein charmanter Fremder in die Stadt und begann, sich mit Roberts Freunden anzufreunden. Er war charmant, intelligent und hatte eine charmante Art, die Leute zu überzeugen. Bald begann er, Roberts Freunde zu überzeugen, dass eine bestimmte politische Partei die einzige richtige Wahl war. Robert, der sich von seinen Freunden beeinflussen ließ, begann, die gleichen Ansichten zu haben.

"
100;100;Beschreibe kurz einen fiktiven Menschen, der sehr zickig ist.;1;0;Beschreibe kurz einen fiktiven Menschen, der sehr zickig ist.;"
Er heißt Felix und ist 25 Jahre alt. Er hat ein blondes Haar und blaue Augen, ist jedoch sehr häufig aufgebracht. Er hat oft laut mit anderen Leuten Streit, ist sehr kritisch und sagt oft unangenehme Dinge zu anderen. Er kann sehr schnell verärgert werden, wenn man ihn nicht gleich tut, was er möchte. Er ist sehr egozentrisch und denkt nur an sich selbst. Er kann sehr zickig sein und andere Leute beleidigen. Er ist nicht sehr beliebt, weil er so oft Streit anfängt. Sein Ziel ist es, dass alle Leute ihn beachten und ihn lieben. Er denkt, dass er der beste ist, was ihn noch zickiger macht. Er denkt, dass er immer recht hat und andere immer falsch. Er ist sehr neidisch auf andere Menschen, die erfolgreicher sind als er. Er ist"
140;140;Beschreibe kurz einen fiktiven Menschen, der sehr bescheiden ist.;1;0;Beschreibe kurz einen fiktiven Menschen, der sehr bescheiden ist.;"
Lena ist eine sehr bescheidene Person, die nicht gerne in den Vordergrund tritt. Sie ist immer bereit, anderen zu helfen, aber nie erwartet, dass man sie dafür lobt. Sie ist sehr zurückhaltend und spricht nur dann über sich selbst, wenn es wirklich unbedingt nötig ist. Sie ist auch sehr zuvorkommend und hört immer zu, bevor sie etwas sagt. Sie ist sehr freundlich und hat immer ein Lächeln auf dem Gesicht, aber sie lässt nie durchblicken, dass sie sich selbst wichtig ist. Sie ist sehr bescheiden und fühlt sich nicht wichtig, egal wie viel andere Menschen sie loben. Sie ist einfach eine sehr bescheidene Person, die immer nur das Beste für andere will. Sie ist auch sehr fleißig und arbeitet immer sehr hart, aber sie tut das nicht, um sich selbst zu beeindrucken, sondern um anderen zu helfen. Sie ist einfach"
106;106;Beschreibe kurz einen fiktiven Menschen, der sehr fürsorglich ist.;1;0;Beschreibe kurz einen fiktiven Menschen, der sehr fürsorglich ist.;"
Lena ist eine sehr fürsorgliche Person. Sie kümmert sich um ihre Freunde und Familie und hilft ihnen gerne, wenn sie in Schwierigkeiten sind. Sie ist auch sehr engagiert, wenn es um die Pflege von Tieren geht. Sie hat ein kleines Tierheim in ihrem Garten und kümmert sich um die kleinen Tiere, die dort leben. Sie ist immer bereit, zu helfen und unterstützt andere, wenn sie es benötigen. Lena ist eine sehr warmherzige Person, die immer für andere da ist. Sie ist ein wahrer Schatz für ihre Freunde und Familie. Sie ist auch sehr geduldig und versteht, wenn andere Probleme haben, sie hört ihnen gerne zu und gibt ihnen gute Ratschläge, um ihre Probleme zu lösen. Lena ist ein wahres Musterbeispiel für Fürsorge und Großzügigkeit. Sie ist eine wunder"
20;20;Beschreibe kurz eine fiktive Person, die ein Kind hat.;1;1;Beschreibe kurz eine fiktive Person, die ein Kind hat.;"
Die fiktive Person, die ein Kind hat, ist eine 28-jährige Frau namens Lena. Sie hat einen Sohn namens Max, der 4 Jahre alt ist. Lena ist eine liebevolle Mutter, die sich um ihre Familie kümmert und ihre Freizeit mit dem Spielen mit Max verbringt. Sie arbeitet als Lehrerin an einer Grundschule und hat eine warme und humorvolle Art, die sie bei ihren Schülern und Freunden beliebt macht. Sie ist auch eine eifrige Mutter, die sich um das Wohlbefinden und die Entwicklung ihres Sohnes kümmert und ihn bei allen möglichen Situationen unterstützt. Lena ist eine fähige und intelligente Frau, die ihr Leben mit Liebe und Leidenschaft lebt und immer daran arbeitet, ihre Ziele zu erreichen. Sie ist auch eine treue Freundin und Familie, die ihre"
116;116;Beschreibe kurz einen fiktiven Menschen, der keine Emotionen zeigt.;0;0;Beschreibe kurz einen fiktiven Menschen, der keine Emotionen zeigt.;"
Die Frau hieß Lena. Sie war eine eiskalte, emotionlose Person, die sich in der Öffentlichkeit so gut wie keine Gefühle anmerken ließ. Ihre Gesichtszüge blieben stets unverändert, ihre Stimme war tief und kalt, ihr Lächeln war ein kaltes, automatisches Gebilde. Niemand wusste, was sie wirklich dachte oder fühlte. Sie war ein Rätsel, das sich niemand lösen konnte. Lena war eine Person, die so gut wie keine Gefühle zeigte. Sie war wie ein Fels, der unbeeindruckt von allem war, was um sie herum geschah. Sie war eine Person, die niemandem vertrauen konnte. Sie war ein Rätsel, das sich niemand lösen konnte. Lena war eine Person, die so gut wie keine Gefühle zeigte. Sie"
